"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-0.9,0.878045173651548,0.205125518415685,1.27628839009684,0.590598588542052,18,264,90,0.0638297872340425,9
-0.8,0.830573105667875,0.207152545430124,1.19748812369774,0.66795987052513,52,214,64,0.195488721804511,9
-0.7,0.642208424218493,0.178098322036915,0.9550327852501,0.686805733307669,63,110,68,0.364161849710983,9
-0.6,0.603227109531742,0.173706470960397,0.979281516708132,0.679006680763361,63,127,62,0.331578947368421,9
-0.5,0.538265074906093,0.19841864215821,0.830428641625891,0.640856764739801,38,113,61,0.251655629139073,9
-0.4,0.548001036733497,0.183001934881454,0.894681844625878,0.565857990741317,65,103,36,0.386904761904762,9
-0.3,0.373705387750954,0.20394404861821,0.66643213848112,0.54937784453795,71,37,28,0.657407407407407,9
-0.2,0.381276204165808,0.195682916917565,0.683034703599247,0.487133099113594,74,55,11,0.573643410852713,9
-0.1,0.321141704858121,0.168439007553821,0.520920600449112,0.692502901177265,62,5,67,0.925373134328358,9
0,0.294590966429578,0.187392609949177,0.623172067897911,0.65703397973477,81,29,30,0.736363636363636,9
0.1,0.275702204684714,0.171630547046943,0.692977958637315,0.683060676926043,81,55,38,0.595588235294118,9
0.2,0.256050855025052,0.179424179912506,0.66561352059903,0.62709080762046,104,32,9,0.764705882352941,9
0.3,0.201694608323556,0.182354209336591,0.67048474745485,0.551803317606188,99,38,2,0.722627737226277,9
0.4,0.173828659946402,0.196021438516612,0.678227656827197,0.614809254455675,90,21,11,0.810810810810811,9
0.5,0.175820072917785,0.156578770347297,0.797659517335194,0.607431570312868,105,20,42,0.84,9
0.6,0.21248340322652,0.191661237904731,0.771270343285941,0.608730064383393,84,39,14,0.682926829268293,9
0.7,0.217276291576517,0.18816321623061,0.768191479887654,0.601041425972255,89,36,14,0.712,9
0.8,0.315851025956822,0.204367357274627,1.02961145379815,0.573608563961574,80,78,7,0.506329113924051,9
0.9,0.357066446048601,0.158463266943447,0.982082174894834,0.677944578566455,98,44,22,0.690140845070423,9
1,0.391504987319774,0.199479105548938,0.911259839076018,0.652260611724351,90,41,12,0.687022900763359,9
-1,1.10715964196856,0.180867964456591,1.63361219274102,0.603472377598535,27,411,67,0.0616438356164384,10
-0.9,1.34111816557514,0.18261236916763,1.75978798976346,0.599448275664479,27,567,73,0.0454545454545455,10
-0.8,0.998670881212906,0.197145549763659,1.47556547102364,0.613017415319746,34,329,65,0.09366391184573,10
-0.7,0.832787807332496,0.188937269867464,1.25504829459746,0.60283855825474,53,232,64,0.185964912280702,10
-0.6,0.655070413538341,0.192366669437299,1.01042333093788,0.64254123079008,61,152,53,0.286384976525822,10
