"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-0.7,1.1819724201538,0.117582863642739,1.91913821776658,1.04260731117544,130,358,74,3.32307692307692,6
-0.6,1.01362992878966,0.116361493663126,1.74441887758253,1.02625537257705,135,292,69,2.67407407407407,6
-0.5,0.830986171386871,0.117633658023557,1.5846075372456,1.02979857723963,147,233,62,2.00680272108844,6
-0.4,0.691700168348548,0.116227146455305,1.4503403647721,1.04030480795226,146,198,57,1.74657534246575,6
-0.3,0.56888095277876,0.119992566660219,1.3193763536849,1.03469404675114,152,149,56,1.34868421052632,6
-0.2,0.428465638079875,0.121566948823044,1.21979459472094,1.0282059986988,154,117,54,1.11038961038961,6
-0.1,0.342266338928575,0.120305569820004,1.14184635801316,1.03618632619129,162,88,42,0.802469135802469,6
0,0.257973830454714,0.111990398762235,1.07889981014953,1.03359717044984,168,63,37,0.595238095238095,6
0.1,0.196087060323508,0.11519768480372,1.03653080892215,1.02983129955113,176,34,27,0.346590909090909,6
0.2,0.139978009064382,0.109984028255936,1.00951183316245,1.0364248705173,189,10,18,0.148148148148148,6
0.3,0.11329708707112,0.116345459350677,1.00284516403747,1.03416045873716,195,4,11,0.0769230769230769,6
0.4,0.100818170862297,0.118184782561372,1.02364070745468,1.03369021792464,187,11,14,0.133689839572193,6
0.5,0.111546019552969,0.116105340755922,1.07847181535334,1.04395382991708,176,18,27,0.255681818181818,6
0.6,0.147566165722271,0.10528729478282,1.13482131223455,1.03244214755053,170,27,35,0.364705882352941,6
0.7,0.19827433088648,0.11077151785649,1.22153492269177,1.03787335573828,160,43,47,0.5625,6
0.8,0.269571197989641,0.117501166882554,1.33874490291928,1.02685828860888,147,69,58,0.863945578231292,6
0.9,0.350427041662364,0.115834153669191,1.45544998585481,1.04245460866283,146,80,63,0.979452054794521,6
1,0.4440323550411,0.108765125285737,1.58784017440766,1.03386171247295,135,106,68,1.28888888888889,6
-1,1.77279675652974,0.124999938368762,2.53373436487785,1.04037569932962,110,660,92,6.83636363636364,7
-0.9,1.55135478322446,0.120877085421068,2.30974784211603,1.03927813206837,121,579,83,5.47107438016529,7
-0.8,1.34149781401842,0.115533549394339,2.10063103552728,1.02972380142298,122,460,81,4.4344262295082,7
-0.7,1.17322908576903,0.112746185746652,1.91566249269978,1.03136141325829,129,354,78,3.34883720930233,7
-0.6,1.00722294816313,0.120381218906153,1.74119057841757,1.03858286860771,133,291,72,2.72932330827068,7
-0.5,0.845592502011714,0.117032359183204,1.59079950715245,1.0205041393416,140,240,58,2.12857142857143,7
