asv	DRR095587	DRR095588	DRR095589	DRR095590	DRR095591	DRR095592	DRR095593	DRR095594	DRR095595	DRR095596	DRR095597	DRR095598	DRR095599	DRR095600	DRR095601	DRR095602	DRR095603	DRR095604	DRR095605	DRR095606	DRR095607	DRR095608	DRR095609	DRR095610	DRR095611	DRR095612	DRR095613	DRR095614	DRR095615	DRR095616	DRR095617	DRR095618	DRR095619	DRR095620	DRR095621	DRR095622	DRR095623	DRR095624	DRR095625	DRR095626	DRR095627	DRR095628	DRR095629	DRR095630	DRR095631	DRR095632	DRR095633	DRR095634	DRR095635	DRR095636	DRR095637	DRR095638	DRR095639	DRR095640	DRR095641	DRR095642	DRR095643	DRR095644	DRR095645	DRR095646	DRR095647	DRR095648	DRR095649	DRR095650	DRR095651	DRR095652	DRR095653	DRR095654	DRR095655	DRR095656	DRR095657	DRR095658	DRR095659	DRR095660	DRR095661	DRR095662	DRR095663	DRR095664	DRR095665	DRR095666	DRR095667	DRR095668	DRR095669	DRR095670	DRR095671	DRR095672	DRR095673	DRR095674	DRR095675	DRR095676	DRR095677	DRR095678	DRR095679	DRR095680	DRR095681	DRR095682	DRR095683	DRR095684	DRR095685	DRR095686	DRR095687	DRR095688	DRR095689	DRR095690	DRR095691	DRR095692	DRR095693	DRR095694	DRR095695	DRR095696	DRR095697	DRR095698	DRR095699	DRR095700	DRR095701	DRR095702	DRR095703	DRR095704	DRR095705	DRR095706
SV_31	23	0	0	0	0	0	0	89	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	31	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	296	0	0	0	0	533	0	0	217	106	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0
SV_32	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	83	0	0	138	0	0	150	138	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_33	0	0	0	0	0	0	11	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	196	3	0	0	0	43	0	0	0	0	0	0	0	0	0	0	85	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	13	0	0	150	0	0	0	0	76
SV_34	0	27	0	9	49	0	6	16	0	0	0	16	37	54	0	10	5	7	19	7	0	3	22	0	18	29	50	6	0	9	0	9	10	11	3	0	30	7	67	0	9	0	0	15	5	13	0	72	0	54	4	28	9	12	15	0	28	0	0	0	9	0	9	0	6	11	0	5	0	0	0	0	30	0	8	0	0	121	40	0	11	8	41	6	5	23	0	5	100	0	32	0	0	8	31	11	0	36	4	17	0	0	4	6	14	12	0	0	0	0	20	65	43	2	47	24	14	8	23	0
SV_35	0	235	0	0	0	91	5	0	0	15	0	0	6	4	0	54	37	0	25	9	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	14	0	0	0	11	0	0	57	0	0	8	0	2	0	0	0	17	0	0	9	0	0	27	0	0	0	0	0	13	42	0	0	0	54	5	10	0	0	235	0	0	0	0	0	0	442	0	3	4	0	5	19	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	6	0	0	0	5	117	0	0	0
SV_36	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	24	0	0	60	0	0	266	67	0	0	0	0	0	0	0	0	0	0	0	74	0	0	18	0	0	0	34	86	0	0	0	0	0	0	58	0	0	0	19	0	0	0	0	0	32	0	0	0	0	65	0	0	19	0	0	0	0	0	0	0	41	0	169	6	0	0	0	66	0	40	0	0	0	38	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	76	0	0	0	0	0
SV_37	11	0	0	0	0	0	11	6	0	49	0	0	0	0	0	0	0	0	0	0	0	13	62	39	0	21	33	17	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	19	159	0	0	0	0	33	0	0	56	0	0	0	39	0	0	47	0	0	0	0	0	0	0	0	0	0	0	152	81	0	0	56	0	0	0	0	0	0	61	0	0	0	0	0	69	116	48	0	65	0	44	0	6	0	28	28	0	0	0	0	0	0	0	0	83	0	0	0	87
SV_38	0	0	52	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	95	77	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	84	0	0	481	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	157	0	0	0	359	0	0	0	0	338	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_40	0	0	0	23	0	0	44	38	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	278	48	0	0	0	51	0	33	0	0	0	0	0	59	0	0	0	83	0	23	0	0	0	54	0	0	0	0	0	0	0	0	22	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	19	0	0	0	0	46	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
