"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
0.3,"eld vs kin",0.744855967078189,181,27,21,14,874,0.142611235520771,0.0966234163701166,0.0908074464119243,0.493739755809875,0.419927742013334,0.434210694714883,0.987057692312574,0.958596522907142,0.976796912960605,0.294430409809814,0.410106126397128,0.170378009211859
0.4,"cent vs mage",0.583333333333333,154,44,10,56,853,0.110969041010912,0.128243533653716,0.26513769572178,0.443354412620063,0.454209813352822,0.583136610824441,0.993408336764699,0.929121969967999,0.946724246180899,0.121818890670741,0.556178062902092,0.476444045718019
0.4,"eld vs kin",0.65748031496063,167,39,34,14,863,0.210071580032829,0.0968100184190966,0.104012296344866,0.565807560898656,0.430000387075268,0.44991729035925,0.979407573605135,0.970435378832954,0.993679780967418,0.40568885858013,0.511384248778497,0.171598933350103
0.5,"cent vs mage",0.501818181818182,138,47,23,67,842,0.132773776491487,0.121741245843836,0.282445531064743,0.446701567067791,0.454132933799761,0.599825840066827,0.982353827730833,0.864885200892652,0.92388969466789,0.259403035239835,0.777768702510116,0.557637532418426
0.5,"eld vs kin",0.662835249042146,173,50,30,8,856,0.235254802526458,0.0990539123390801,0.0965949721430135,0.596560291829125,0.440321182764676,0.440591269647738,0.97298826655883,0.967797767765177,0.994487188650229,0.47734124749643,0.548013676951479,0.149175553554107
0.6,"cent vs mage",0.475,133,58,29,60,837,0.144977306149304,0.123764391456673,0.261173276402152,0.445605669126037,0.454338593758734,0.572460903652827,0.972017581978415,0.820928433942077,0.914412478978453,0.382715277389407,0.847757556686558,0.507207158209236
0.6,"eld vs kin",0.541958041958042,155,73,39,19,831,0.358572606447938,0.101726577218301,0.103846905940145,0.719004549214034,0.438404265113104,0.441695774429429,0.938104034017693,0.910586531999542,0.993592383048925,0.693558324277956,0.859701003582717,0.198182111221006
0.7,"cent vs mage",0.384364820846906,118,81,51,57,810,0.213172126033051,0.127832451317245,0.261542137498754,0.511130105754703,0.450253157261334,0.595673398973211,0.946615223493744,0.80045440506547,0.929425553477632,0.571243418701651,0.969550210370215,0.461285160967544
0.7,"eld vs kin",0.513245033112583,155,87,49,11,815,0.419660040422596,0.097172938460286,0.0918663584540113,0.787226845739686,0.421777987994464,0.446974413186453,0.916613920321664,0.89865583883047,0.995095283020501,0.84107459495849,0.946514712598767,0.154992561161777
0.8,"cent vs mage",0.367088607594937,116,95,50,55,801,0.2352838427375,0.126529152847104,0.252549160757888,0.538461828778287,0.458585215698599,0.572522804480944,0.937886566843744,0.805591722905376,0.949982873695029,0.673854740462372,1.04860969620066,0.438867058452743
0.8,"eld vs kin",0.463722397476341,147,104,59,7,800,0.516861040473933,0.0979925873889478,0.0960873934313589,0.862891168077442,0.447683718795064,0.441523458790582,0.862979486896871,0.856290559427522,0.995284169758071,1.08351510799716,1.11513076323632,0.124529743560596
0.9,"cent vs mage",0.265536723163842,94,126,65,69,763,0.37240901679002,0.124283396196857,0.293416401067038,0.648749718774196,0.450195769134966,0.601185303782388,0.92330467147353,0.734619827311469,0.928372110437943,0.908983270566714,1.35040326421173,0.554860342864344
0.9,"eld vs kin",0.402366863905325,136,122,68,12,779,0.646686247715578,0.100226533400734,0.0962524938487882,0.974094340723041,0.424076037206212,0.436138418701727,0.873727452086992,0.857921922655946,0.996704328496338,1.20646810997139,1.27371782449211,0.122349879595698
1,"cent vs mage",0.259459459459459,96,147,64,63,747,0.458103988010628,0.121346676540477,0.269373999610329,0.728509350213448,0.445929150173005,0.57958788298699,0.903845093685857,0.737073905055795,0.942657145464854,1.03999673602625,1.4234583670048,0.504548681182636
