"constant","median_log_coeff","median_log_clr","median_log_tss","mean_log_coeff","mean_log_clr","mean_log_tss","n_all3","n_coeff_only","n_clr_only","n_tss_only","robustness","replicate"
-0.9,1.03356747433398,0.184771067029524,0.234304022864164,1.4426098689693,0.559837312193456,0.662959445288372,34,324,62,2,0.0805687203791469,3
-0.8,0.820226794649549,0.182995640829948,0.250500861970255,1.14322289421245,0.556996251339814,0.588613681810883,53,184,62,0,0.177257525083612,3
-0.7,0.743908802928976,0.209903062308199,0.375366356523177,1.09780128376976,0.773996453596359,0.741847205361588,27,201,93,0,0.0841121495327103,3
-0.6,0.645891246186783,0.199690078452791,0.25825328324387,0.954664202786261,0.567010540739266,0.654609448208206,45,123,62,1,0.194805194805195,3
-0.5,0.644193091159477,0.225714202734618,0.331759277147108,1.06446342747248,0.55391215851328,0.705429614456592,48,191,43,1,0.169611307420495,3
-0.4,0.426454064734235,0.171366988818065,0.309588649973067,0.65981838376986,0.677768236592573,0.775610553150865,65,36,61,23,0.351351351351351,3
-0.3,0.356313050299781,0.203403984641679,0.306730503790742,0.696159450795848,0.59351719869401,0.647172510145831,86,38,29,0,0.562091503267974,3
-0.2,0.313455490627546,0.176571103416691,0.278103264632545,0.650688682863444,0.662371848431777,0.687424991788309,76,46,36,2,0.475,3
-0.1,0.32381053049555,0.199202850431946,0.201997789557418,0.624625474004473,0.555612022554737,0.525538336107553,58,53,23,1,0.42962962962963,3
0,0.230299446774536,0.183781974376166,0.238794130993669,0.618932707180071,0.67084828086198,0.627461441696446,99,23,29,1,0.651315789473684,3
0.1,0.22244319128329,0.176785854888258,0.240727182795075,0.692415739688836,0.587866059793211,0.568232281995422,101,42,0,0,0.706293706293706,3
0.2,0.220886312027194,0.187818211808349,0.254386051980579,0.599318091745298,0.471433985087502,0.646316263805822,63,56,1,17,0.45985401459854,3
0.3,0.198387973821571,0.177702286519561,0.350156822256026,0.555538112230755,0.451058466242807,0.669944025728495,70,33,13,33,0.469798657718121,3
0.4,0.178566108640139,0.181123633304178,0.280831157756357,0.606938584701774,0.549133245426927,0.633085490179867,67,21,13,37,0.485507246376812,3
0.5,0.209747332574639,0.203861662126209,0.271212537683413,0.594241061120402,0.668089811093715,0.658117313692014,66,12,42,27,0.448979591836735,3
0.6,0.205621914239715,0.198771891099928,0.342347698104389,0.601829650149795,0.4869869381112,0.667490726595767,55,40,17,47,0.345911949685535,3
0.7,0.232970350499728,0.200921375620236,0.26351576664212,0.907574959621949,0.541038095288102,0.537984856839684,56,89,6,29,0.311111111111111,3
0.8,0.244640337163132,0.233513050005003,0.253208429641636,0.787766960797456,0.603594143292769,0.599241426386045,63,59,57,7,0.338709677419355,3
0.9,0.342114175319084,0.225170791201045,0.23756669362821,1.04113275283672,0.53118634495932,0.598339402152264,50,108,9,51,0.229357798165138,3
1,0.378833961735168,0.186663010544797,0.235437348223526,0.956364851034143,0.671048529821511,0.630362108384217,69,78,15,32,0.355670103092784,3
-1,1.2870388943647,0.167327628156499,0.241547877803796,1.81618514139316,0.693649782995422,0.676811040549099,42,504,84,0,0.0666666666666667,4
-0.9,0.944966555852206,0.222886297164813,0.245870034162905,1.31308161502037,0.49133973989351,0.587140430292427,17,270,63,0,0.0485714285714286,4
-0.8,0.658228379474956,0.221173197532377,0.318131336952872,1.11362207909127,0.647385688095234,0.746381522121646,78,170,52,0,0.26,4
