"taxon","estimate_gamma","std_error_gamma","pval_gamma","pval_adj_gamma","estimate_no_gamma","pval_adj_no_gamma","comparison"
"101",-3.58916314496372,0.476541853766762,5.52704511932536e-08,5.52704511932536e-08,-3.51817832784051,2.26149281220142e-09,"pup vs you"
"102",1.40979563941556,0.444966270453278,0.0946703946776996,0.0946703946776996,1.45446540014916,0.0217661042915256,"pup vs you"
"103",-3.82846272782033,0.404975420216841,1.4639463206299e-12,1.4639463206299e-12,-3.78853672360287,6.66013523818027e-15,"pup vs you"
"104",0.111540899466542,0.208849996744232,0.69286847320819,0.69286847320819,0.13974756475464,0.978470326371674,"pup vs you"
"105",2.12949926573923,0.309338411984729,4.26428183447225e-05,4.26428183447225e-05,2.16077690763493,1.01272203780002e-07,"pup vs you"
"106",-1.4183568785722,0.299868913534094,0.00556874901349357,0.00556874901349357,-1.38625690827048,7.13948627026441e-05,"pup vs you"
"107",-0.215131552067869,0.422161558570742,0.821971362971551,0.821971362971551,-0.180119661645257,0.94436020057161,"pup vs you"
"108",4.8807521097875,0.467810332697877,7.1012362954105e-15,7.1012362954105e-15,4.8850360256328,4.33951356394734e-17,"pup vs you"
"109",0.714776858442722,0.335430718843505,0.347001713418066,0.347001713418066,0.751525787643937,0.130449868076972,"pup vs you"
"110",0.161113500944569,0.433598451408767,0.812896095687757,0.812896095687757,0.210561344474019,0.95459325666254,"pup vs you"
"111",2.15727806119908,0.325478043117384,7.40158578953182e-06,7.40158578953182e-06,2.2066794981504,4.57580232215929e-08,"pup vs you"
"112",-0.0293843701742242,0.47411989104428,0.911087597247021,0.911087597247021,-0.0113790198020903,0.993959892595616,"pup vs you"
"113",-2.42268129825535,0.40087407805717,2.11574942028505e-05,2.11574942028505e-05,-2.40534697541637,3.94677588231822e-07,"pup vs you"
"114",-1.64189334108698,0.454385167357982,0.0326218824826469,0.0326218824826469,-1.60995734110615,0.0101679477446397,"pup vs you"
"115",1.46670917704863,0.414761955910082,0.0471682137874207,0.0471682137874207,1.49249875438596,0.00437804226209359,"pup vs you"
"116",-0.820710773246044,0.417711540905417,0.417155885031508,0.417155885031508,-0.768719203438837,0.42481218043985,"pup vs you"
"117",-3.27906297870342,0.340343146253492,8.80066699972609e-12,8.80066699972609e-12,-3.2621651164877,6.43734709193175e-15,"pup vs you"
"118",3.50076770451251,0.30185287756833,2.16852633326431e-17,2.16852633326431e-17,3.54443924224129,8.4070765917127e-22,"pup vs you"
"119",-5.39165715250201,0.319085768961556,0,0,-5.34738001917451,0,"pup vs you"
"120",0.22282547924323,0.42967696434702,0.763523562617056,0.763523562617056,0.226561402797854,0.865816618996399,"pup vs you"
"121",-4.26706621130045,0.364536894669929,0,0,-4.21908331495345,0,"pup vs you"
"122",-2.5107472229748,0.359237566043178,4.68372938025921e-07,4.68372938025921e-07,-2.49868244054269,5.39264465246251e-09,"pup vs you"
"123",0.640883523551464,0.374310249890758,0.459134198745351,0.459134198745351,0.686970797937354,0.33533937765423,"pup vs you"
"124",-2.76513463281532,0.358792338821524,1.01218728234675e-08,1.01218728234675e-08,-2.73988381275173,1.33214534836461e-10,"pup vs you"
"125",-2.97917604660849,0.423460449923906,8.65564008782165e-07,8.65564008782165e-07,-2.92898873066143,3.57919493345356e-08,"pup vs you"
"126",1.04593702481225,0.412239423567046,0.228866461551977,0.228866461551977,1.07474631412552,0.075082261078891,"pup vs you"
"127",1.50905517394737,0.428078300926414,0.0554280135954805,0.0554280135954805,1.58633979325033,0.00996958379248834,"pup vs you"
"128",0.722886978303521,0.456069530442297,0.518230897918195,0.518230897918195,0.704141702181106,0.451413384793154,"pup vs you"
"129",-0.768404755640887,0.436119901989589,0.461062793957129,0.461062793957129,-0.723272830633212,0.51313511040434,"pup vs you"
"130",3.08006625544618,0.483773862755674,2.00445869005504e-05,2.00445869005504e-05,3.07667260169844,1.51377937374547e-06,"pup vs you"
"131",0.419922636885546,0.377125139449072,0.596532310543433,0.596532310543433,0.429747230594765,0.618273012165169,"pup vs you"
"132",0.0234406666354546,0.393869420638498,0.82561321265059,0.82561321265059,0.0212523355250411,0.928797245248849,"pup vs you"
"133",0.0062702109381099,0.400555305960269,0.872476620241997,0.872476620241997,0.0214253527596263,0.990332946814454,"pup vs you"
"134",-0.688542257034612,0.422730081285949,0.509761557023463,0.509761557023463,-0.616518444553394,0.592057069208691,"pup vs you"
"135",-4.13351334423531,0.376422926176896,0,0,-4.12215749725548,0,"pup vs you"
"136",-0.0406210800557092,0.462674359369045,0.89047185016732,0.89047185016732,-0.0133817170267188,0.986169648557219,"pup vs you"
"137",-0.494815320576616,0.456518122322485,0.691640768565731,0.691640768565731,-0.445888039872405,0.799480175819297,"pup vs you"
"138",-5.20920683758073,0.387026215519712,0,0,-5.1881778895294,0,"pup vs you"
"139",2.89812638599109,0.477267160293605,2.32329188524362e-05,2.32329188524362e-05,2.99220181913035,3.07093671580299e-07,"pup vs you"
"140",1.29087535088958,0.431386603430517,0.141634833263258,0.141634833263258,1.33655418218092,0.0408313720223461,"pup vs you"
"141",0.848385216290175,0.407474606898914,0.330333052708918,0.330333052708918,0.823938952682841,0.277085322533183,"pup vs you"
"142",-0.43472112061246,0.468789737591758,0.745112225810196,0.745112225810196,-0.376954831609689,0.92548405717659,"pup vs you"
"143",-0.387159945571163,0.427339635342974,0.732739122692358,0.732739122692358,-0.308115647648961,0.863094810066976,"pup vs you"
"144",0.119489837110833,0.292454630273004,0.75342332522674,0.75342332522674,0.170185352552348,0.929901648195588,"pup vs you"
"145",-0.982652880661961,0.462557429387249,0.317452285318083,0.317452285318083,-0.965867875263464,0.289771177738073,"pup vs you"
"146",-2.05079448349815,0.409735878529302,0.00390353833709842,0.00390353833709842,-1.95967992885598,0.000135369098994567,"pup vs you"
"147",3.06624773705958,0.437922099807154,8.28477671949448e-07,8.28477671949448e-07,3.14658048376303,1.32423219916531e-07,"pup vs you"
"148",-0.0812852769993061,0.433306160757599,0.898788389824188,0.898788389824188,-0.055758244106633,0.992420315933506,"pup vs you"
"149",-1.09567738319948,0.481674319959014,0.260343565812948,0.260343565812948,-1.03673204836628,0.248533331981903,"pup vs you"
"150",3.84674330531407,0.344591538192766,3.05674701992616e-13,3.05674701992616e-13,3.846022618922,9.4864204415994e-20,"pup vs you"
"151",-5.46034147448611,0.409205794448846,0,0,-5.4693148406989,0,"pup vs you"
"152",0.833236172579092,0.442731593489446,0.368840604544511,0.368840604544511,0.810701029328085,0.335321666993337,"pup vs you"
"153",-0.502056570937461,0.453246219391729,0.672570335164922,0.672570335164922,-0.488914134862999,0.744782567319548,"pup vs you"
"154",0.711733100115563,0.455694617968316,0.50814685192598,0.50814685192598,0.736414629215706,0.42372687085401,"pup vs you"
"155",-0.671094774080135,0.409030234606714,0.493759089246173,0.493759089246173,-0.6227834543113,0.594446804828124,"pup vs you"
"156",-1.48144556344659,0.371603443273757,0.0312016096899334,0.0312016096899334,-1.44047652288102,0.00407855420743285,"pup vs you"
"157",0.675228456363039,0.393766691746076,0.446531830831578,0.446531830831578,0.704587886028769,0.404687262976585,"pup vs you"
"158",-1.32710798491559,0.395612275826015,0.0665698874759515,0.0665698874759515,-1.33870513856761,0.0255333026864752,"pup vs you"
"159",-0.355090845097826,0.417824004166329,0.761567781570164,0.761567781570164,-0.274912504183316,0.901797774646143,"pup vs you"
"160",-2.41134182801961,0.36971283298344,2.87325320832926e-06,2.87325320832926e-06,-2.36815114313952,1.87950788900812e-08,"pup vs you"
"161",0.437794148606628,0.391161982729048,0.600521162790087,0.600521162790087,0.465671770713657,0.592840601243277,"pup vs you"
"162",3.77652503572941,0.45962004592049,7.1385114482184e-08,7.1385114482184e-08,3.8277851475828,2.02961155713094e-10,"pup vs you"
"163",2.31965583322104,0.460914132837693,0.000728962609257934,0.000728962609257934,2.34111972860661,0.000150808447223776,"pup vs you"
"164",-2.49403408472395,0.32821777899959,5.89466624106563e-07,5.89466624106563e-07,-2.46850920303029,4.07651468796954e-09,"pup vs you"
"165",3.44315864450573,0.486762772074454,2.17027015904681e-07,2.17027015904681e-07,3.44319140583185,5.94845502536648e-08,"pup vs you"
"166",-1.7604528602868,0.46197421859999,0.0240262282687538,0.0240262282687538,-1.71503016263023,0.00985810670010281,"pup vs you"
"167",-0.545465369275209,0.432967036554627,0.634691770565916,0.634691770565916,-0.49492344729318,0.803190618078799,"pup vs you"
"168",0.0175864207027735,0.411090681596681,0.858360101203793,0.858360101203793,0.0510782184593442,0.920861986397259,"pup vs you"
"169",2.13635974106505,0.402257521831246,0.00044626834935742,0.00044626834935742,2.15430525749189,2.90531607409998e-05,"pup vs you"
"170",0.191238120620286,0.453340439153185,0.805664841972041,0.805664841972041,0.215158682435106,0.897295116676482,"pup vs you"
