"taxon","estimate","std_error","pval_adj"
"377",-0.00829118342281059,0.00311356714999863,0.484484803337803
"378",-0.0182748454897144,0.00331060622859886,0.500000680462819
"379",0.000715711044854306,0.00306934108622798,0.484375556243865
"380",-0.00874417535704096,0.0033786134505918,0.485097509039922
"381",-0.012421407999979,0.00316437285720209,0.490890482211453
"382",-0.00766173776836849,0.00315144404056521,0.488470408997648
"383",0.0214657016097356,0.00345807560631599,0.461370011125405
"384",-0.0162240252317194,0.00293384216391805,0.496634038310643
"385",-0.0124051186883494,0.00311438094941856,0.48652697980875
"388",-0.00166898368576249,0.0034222658539458,0.484384606879481
"389",-0.00635546722142123,0.00343475882130803,0.484442507196319
"390",-0.00941723342986488,0.00316425464470975,0.492975368924945
"392",-0.0244442526174998,0.00334625093549797,0.500058590076066
"393",-0.0130612223015135,0.00326883477251626,0.489888952627438
"394",-0.0218945745189124,0.00339116485983339,0.500025591598673
"395",0.00511287664915452,0.00298608355595823,0.484375000856642
"396",0.012106280326076,0.00314157517459417,0.475991364566163
"397",-0.00895616806444665,0.00321415150482281,0.484820029337712
"398",0.00664977099045035,0.00335792242845714,0.484375000262744
"399",-0.00764592085503769,0.00301608893081636,0.484611153259633
"400",0.00427247149657828,0.00356127995502886,0.484375014932151
"401",-0.00582093545835655,0.00326729613423706,0.484383441085119
"402",-0.0143688894031985,0.00319204957459819,0.500000001386378
"403",-0.00378381728614085,0.00349692302522321,0.484492959044695
"404",-0.00925651253745566,0.00310747746676144,0.484695243826434
"405",0.00759167832810083,0.00355305619465916,0.484375018549582
"406",0.0028407560570387,0.00350441139449425,0.484375135010829
"408",-0.0118968490790821,0.00307308782011041,0.486425446955883
"410",0.0105238041613195,0.00340704981852729,0.484375000000015
"412",0.00208173707192057,0.00340317061506839,0.484375241087116
"414",-0.0157112773200107,0.00323524057319077,0.494818474207845
"415",-0.00382586809393837,0.00335655223068961,0.484715380926165
"416",-0.000799304946116462,0.00350065320956913,0.484376046407743
"417",-0.00430402720652174,0.00326963025220729,0.484498994684108
"418",0.013199884240014,0.00362585182396125,0.484375000000021
"419",-0.00690547864337993,0.00316589298373154,0.487630713365142
"420",-0.00226957270786178,0.00330105653995097,0.484381199530166
"421",0.0011302419835197,0.00337831682261191,0.484376417037355
"422",-0.0253240563948185,0.00320407108860359,0.501249158678437
"424",-0.00739300379372812,0.00337856160909679,0.486125984882022
"425",0.0062226833983852,0.00336805756986312,0.484375000007249
"426",-0.0101434020487824,0.00350608962438986,0.488096903777079
"427",-0.00765650419968591,0.00314790952186676,0.485907843801514
"429",-0.025937504155297,0.00331617544780524,0.500256058308074
"430",-0.00562886782786471,0.00319145401069118,0.48437519426615
"431",-0.0260627913934514,0.00296786669128017,0.500469968753107
"433",-0.0016731051176181,0.00267449071121239,0.484375003287274
"434",7.95294903034763e-05,0.00329787977858251,0.484375200490091
"435",-0.00334588550387229,0.00324671025895204,0.48535792419794
"436",-0.0157840003354075,0.00315215309340731,0.500000000470842
"437",-0.00963792441059548,0.00316982535055608,0.486985508670565
"438",-0.000422565567493061,0.00354433262805589,0.484375006191245
"439",-0.00392336108370188,0.00330990251781059,0.484376768627022
"440",0.00172017518116737,0.00313415611884381,0.484375011715082
"441",0.00579553939768788,0.00334312119530034,0.484375000001311
"443",-0.0083724619914148,0.00317772539843144,0.48462117025403
"444",-0.0126687517673929,0.00309870157542018,0.492239838136001
"445",0.00605732935432127,0.00346029643471277,0.484375000013863
"446",-0.00998025895272984,0.00312700353822018,0.488743260929199
"447",0.00162708475760245,0.00330409811354001,0.484375022350137
"448",-0.0124072096547373,0.00307008511300403,0.494951551006642
"450",-0.00752367490039209,0.00346237683888836,0.485266722194488
"451",0.0124127800622055,0.00365046753416351,0.477023525951598
"452",-0.0128322064356657,0.0031009019957497,0.486856427470618
"453",-5.03469577870356e-05,0.00340744842678871,0.484375334025753
"454",-0.00973997923794957,0.00325790143612626,0.489419241375864
